,V4,V1,V2,V3
0,1.3167315740619674e-71,0.0,1.0,0.0
1,0.0,1.0,0.0,0.0
2,1.2144694883289294e-95,0.0,1.0,0.0
3,1.0,0.0,0.0,0.0
4,0.0,1.0,0.0,0.0
5,0.0,0.0,9.322548433982295e-116,1.0
6,0.0,1.0,0.0,0.0
7,2.3737760496749858e-66,0.0,1.0,0.0
8,0.0,1.0,0.0,0.0
9,0.0,1.0,0.0,0.0
10,2.216302095768745e-58,0.0,1.0,5.417452227637465e-87
11,0.0,1.0,0.0,0.0
12,1.1894988594896678e-63,0.0,1.0,0.0
13,0.0,0.0,2.676237510311726e-114,1.0
14,0.0,1.0,0.0,0.0
15,1.094164370174822e-92,0.0,1.0,0.0
16,0.0,1.0,0.0,0.0
17,1.569214837709247e-74,0.0,1.0,0.0
18,1.199655675398062e-63,0.0,1.0,0.0
19,1.2234342461321338e-126,0.0,1.0,0.0
20,3.1758435302275424e-91,0.0,1.0,0.0
21,0.0,1.0,0.0,0.0
22,0.0,1.0,0.0,0.0
23,0.0,1.0,0.0,0.0
24,8.693486360786846e-80,0.0,1.0,0.0
25,0.0,1.0,0.0,0.0
26,0.0,0.0,1.0,0.0
27,0.0,1.0,0.0,0.0
28,0.0,1.0,0.0,0.0
29,5.02836004888785e-60,0.0,1.0,3.0159254681560763e-297
30,0.0,1.0,0.0,0.0
31,1.6180651824349058e-144,0.0,1.0,0.0
32,0.0,0.0,4.292217323728269e-239,1.0
33,2.0294688002070354e-73,0.0,1.0,0.0
34,0.0,1.0,0.0,0.0
35,1.8088361934424678e-211,0.0,0.0,1.0
36,6.306782023016299e-105,0.0,0.0,1.0
37,2.277718604827942e-228,0.0,1.0,0.0
38,0.0,1.0,0.0,0.0
39,8.17920598689241e-79,0.0,1.0,0.0
40,0.0,1.0,0.0,0.0
41,2.178863809939982e-80,0.0,1.0,0.0
42,0.0,1.0,0.0,0.0
43,3.502508853950353e-70,0.0,1.0,0.0
44,0.0,1.0,0.0,0.0
45,0.0,0.0,0.0,1.0
46,0.0,1.0,0.0,0.0
47,0.0,1.0,0.0,0.0
48,0.0,1.0,0.0,0.0
49,7.179368628691763e-67,0.0,1.0,0.0
50,0.0,0.0,0.0,1.0
51,0.0,0.0,1.0,0.0
52,0.0,1.0,0.0,0.0
53,0.0,1.0,0.0,0.0
54,0.0,1.0,0.0,0.0
55,0.0,1.0,0.0,0.0
56,1.0,0.0,0.0,0.0
57,7.532930312022627e-66,0.0,1.0,0.0
58,0.0,1.0,0.0,0.0
59,0.0,1.0,0.0,0.0
60,0.0,0.0,4.833490257545348e-232,1.0
61,1.0,0.0,0.0,0.0
62,0.0,0.0,3.3439288392987915e-241,1.0
63,1.7897183695228738e-83,0.0,1.0,0.0
64,4.6859452772996044e-76,0.0,1.0,0.0
65,0.0,1.0,0.0,0.0
66,0.0,1.0,0.0,0.0
67,1.5563100857813258e-67,0.0,1.0,0.0
68,1.0,0.0,0.0,0.0
69,0.0,1.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,0.0,1.0,0.0,0.0
72,5.991197904647068e-53,0.0,1.0,5.716687666710481e-154
73,4.2729035131009404e-181,0.0,0.0,1.0
74,0.0,1.0,0.0,0.0
75,0.0,1.0,0.0,0.0
76,0.0,0.0,1.6297637525245516e-184,1.0
77,0.0,1.0,0.0,0.0
78,0.0,1.0,0.0,0.0
79,0.0,1.0,0.0,0.0
80,0.0,1.0,0.0,0.0
81,0.0,1.0,0.0,0.0
82,2.877018348734335e-60,0.0,1.0,9.316440040206183e-226
83,0.0,1.0,0.0,0.0
84,0.0,1.0,0.0,0.0
